Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Worldwide","বিশ্বব্যাপী / সারা বিশ্বজুড়ে","Universal, global, international, planetary","Local, regional, limited, parochial","Extending or reaching throughout the world.","[Unit 4: Lesson 3]: Her legacy continues in many projects worldwide, such as in 'Plant for the Planet: The Billion Tree Campaign'.
[Unit 4: Great Women: Pioneers of Education & Science]: Her legacy continues in many projects worldwide, such as in 'Plant for the Planet: The Billion Tree Campaign'.
[Unit 12: Lesson 4]: It recognizes that currently the negative impacts of ecological devastation, particularly the environmental harm and hazards created by overconsumption of resources in the global North and by elites worldwide, fall disproportionately on the world's poor, the vast majority of whom are people of color, especially women and children.","Unit 4: Lesson 3 (Great Women)"
"Evoke","জাগিয়ে তোলা / স্মরণ করানো / অনুভূতি সৃষ্টি করা","Kindle, elicit, awaken, invoke, stimulate","Suppress, stifle, quench, extinguish","To bring or recall a feeling, memory, or image to the conscious mind.","The aim of art is to evoke feelings and emotions that are considered aesthetic—that is, concerned with beauty—but art also can be a form of social commentary...","Unit 2: Lesson 3 (Art)"
"Racial","জাতিগত / বর্ণভিত্তিক ও জাতিবৈষম্যমূলক","Ethnic, racialist, ancestral, lineage-based","Universal, non-racial, colorblind","Relating to the major groupings into which humankind is divided on the basis of physical traits.","[Unit 11: Lesson 1]: Angelou's experience of racial discrimination in her childhood and her involvement in civil rights movement in the 1960s made her a committed campaigner for human rights, social justice and peace.
[Unit 5: Lesson 3]: It shall promote understanding, tolerance and friendship among all nations, racial or religious groups, and shall further the activities of the United Nations for the maintenance of peace.","Unit 11: Lesson 1 (Situations of Conflict)"
"Ethnic","জাতিগত / নৃগোষ্ঠীগত","Indigenous, racial, cultural, traditional, tribal","Alien, foreign, cosmopolitan","Relating to a population subgroup with a common national or cultural tradition.","[Unit 5: Lesson 1]: Warm up activity: Pick up the day's newspaper/s and find out stories about violation of human rights (rights of children, women, the disadvantaged, ethnic minorities etc.
[Unit 5: Human Rights: Declarations of Human Rights]: Find out stories about violation of human rights regarding rights of children, women, the disadvantaged, and ethnic minorities.","Unit 5: Lesson 1 (Are We Aware of These Rights-I?)"
"Risk","ঝুঁকি / বিপদের সম্ভাবনা","Hazard, danger, peril, jeopardy","Safety, security, protection","A situation involving exposure to danger, injury, or loss.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Threat","হুমকি / ভীতি / বিপদের লক্ষণ","Danger, menace, hazard, risk, warning","Protection, safety, blessing, reassurance","A person or thing likely to cause damage, job loss, or danger.","Let us explore the pros and cons of AI as a tool in the classroom, address the concern that AI could be a threat to teachers' and instructors' jobs and discuss the role of edtech companies in advancing this AI use case.","Unit 1: Lesson 2 (Education and Technology)"
"Excerpt","উদ্ধৃতাংশ / অংশবিশেষ","Extract, passage, selection, snippet","Entire text, complete volume, whole","A short extract from a text, film, piece of music, or speech.","[Unit 1: Education and Life: Children in School]: a) b) c) What is the excerpt about?
[Unit 5: Lesson 4]: In this lesson, we will read an excerpt from the speech of Lord Ashley which he delivered in 1842.","Unit 1: Education and Life: Children in School"
"Harassment","হয়রানি / মানসিক নিপীড়ন","Intimidation, persecution, victimization, bullying","Protection, comfort, encouragement, support","Aggressive pressure or intimidation.","This is an excerpt from the desk review titled 'Sexual Harassment in Public Spaces in Bangladesh' which was issued by Share-Net Bangladesh secretariat.","Unit 9: Adolescence: Say 'No' to Bullying"
"Thrust","জোরপূর্বক ঢোকানো / ঠেলা দেওয়া / ধাক্কা দেওয়া","Shove, push, force, drive, plunge","Withdraw, extract, pull back, retract","To push someone or something suddenly or violently in a specified direction.","Only reams of texts were being torn and the pieces of paper thrust into the bird's mouth with the point of a quill.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Security","নিরাপত্তা / সুরক্ষা","Safety, protection, safeguard, shield","Danger, vulnerability, insecurity, peril","The state of being free from danger or threat.","AI-powered educational tools may collect and store sensitive personal data, which raises concerns about privacy and security.","Unit 1: Education and Life: Education and Technology"
"Extract","উদ্ধৃতি / প্রামাণ্য পাঠ্য থেকে নেওয়া অংশ","Quotation, excerpt, citation, passage, selection","Whole, entirety, totality","A short passage taken from a book, speech, piece of music, or document.","[Unit 5: Lesson 3]: The following text has extracts from the Universal Declaration of Human Rights and is about health and education: Article 25: (1) Everyone has the right to a standard of living adequate for the health and well-being of oneself and of one's family, including food, clothing, housing and medical care and necessary social services, and the right to security in the event of unemployment, sickness, disability, widowhood, old age or other lack of livelihood in circumstances beyond his control.
[Unit 5: Human Rights: Health and Education]: The following text has extracts from the Universal Declaration of Human Rights and is about health and education.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Suffering","দুর্ভোগ / যন্ত্রণা","Hardship, anguish, torment, distress","Comfort, ease, delight, pleasure","The state of undergoing pain, distress, or hardship.","[Unit 3: Myths and Literature: Icarus]: Vocabulary definitions and critical inquiry on human suffering and existential indifference in Pieter Brueghel's painting and William Carlos Williams' poetry.
[Unit 5: Lesson 5]: Death soon ended what little we could have while she lived, and with it her hardships and suffering.","Unit 3: Myths and Literature: Icarus"
"Range","পরিসর / ব্যাপ্তি","Extent, scope, variety, spectrum, reach","Limitation, narrowness","The area of variation between upper and lower limits on a particular scale.","health services and their workplaces to learn a wide range of skills that can help them to cope with the pressures they face and make a successful transition from childhood to adulthood.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Distressing","মর্মান্তিক / উদ্বেগজনক / কষ্টদায়ক","Heartbreaking, agonizing, upsetting, painful, harrowing","Comforting, soothing, reassuring, pleasant","Causing anxiety, sorrow, or deep mental pain.","Education and Life 27 D.","Unit 1: Lesson 4 (Civic Engagement)"
"Fearsome","ভীতিপ্রদ / ভয়ংকর / ত্রাস সৃষ্টিকারী","Formidable, dreadful, terrifying, menacing, frightening","Harmless, inviting, soothing, comforting","Frightening, especially in appearance to an extreme degree.","On the island of Crete, the fearsome Minotaur, a creature that was half-man and half-bull, terrorized the inhabitants.","Unit 3: Lesson 2 (Icarus)"
"Harrowing","চরম দুর্দশাপূর্ণ, মর্মভেদী","Calamitous, distressing","Pleasant, quiet","Acutely distressing or painful; agonizing.","Coleridge's poem, a ballad, narrates the harrowing sea-voyage of an old mariner who at one point of his journey didn't have any water to drink because of a curse.","Unit 12: Lesson 1 (Water Everywhere)"
"Deprivation","বিকাশ বাধা / বঞ্চনা","Privation, absence","","The damaging lack of material benefits and basic necessities considered to be basic necessities.","I can't not see the deprivation in every house, the fear and the sickness.","Unit 11: Lesson 3 (Stories From Gaza)"
"Jangling","কর্কশ / শ্রুতিকটু / খটখট শব্দময়","Harsh, grating, discordant, clashing, strident","Harmonious, melodious, soothing, musical","Making or causing to make a harsh, unpleasantly discordant ringing metallic sound.","[Unit 4: Lesson 2]: With this faith we will be able to transform the jangling discords of our nation into a beautiful symphony of brotherhood.
[Unit 4: Transformative Speeches: Three Speeches]: With this faith we will be able to transform the jangling discords of our nation into a beautiful symphony of brotherhood.","Unit 4: Lesson 2 (Transformative Speeches)"
"Prosperity","সমৃদ্ধি / প্রাচুর্য / আর্থিক স্বচ্ছলতা","Wealth, success, affluence, well-being, fortune","Poverty, hardship, failure, adversity","The state of flourishing, thriving, good fortune and successful social status.","[Unit 4: Lesson 2]: The Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity.
[Unit 4: Transformative Speeches: Three Speeches]: The Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity.","Unit 4: Lesson 2 (Transformative Speeches)"
"Sore","যন্ত্রণাদায়ক / কষ্টকর / ব্যথাতুর","Aching, painful, tender, agonizing, agonizingly difficult","Comfortable, painless, soothing, easy","Causing great physical pain, anguish, or suffering.","[Unit 5: Lesson 4]: ] Isabella Read, Age: 12 years: ""I am wrought with sister and brother; it is very sore work; cannot say how many rakes or journeys I make from pit's bottom to wall face and back, it may be about 30 or 25 on average; the distance varies from 100 to 250 fathom (1 fathom = 1.
[Unit 5: Human Rights: Coal Miners]: I am wrought with sister and brother; it is very sore work.","Unit 5: Lesson 4 (Coal Miners)"
"Extent","ব্যাপ্তি / মাত্রা / পরিধি","Scope, range, degree, scale, magnitude","Narrowness, limitation","The area covered by something or the degree to which something extends.","[Unit 5: Lesson 5]: Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.
[Unit 5: Human Rights: Frederick Douglass]: Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care.","Unit 5: Lesson 5 (Frederick Douglass)"
"Watchful","সতর্ক / সদা জাগ্রত","Vigilant, observant, alert, attentive, heedful","Careless, unaware, negligent, inattentive","Watching or observing someone or something closely; alert and vigilant.","[Unit 5: Lesson 5]: Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.
[Unit 5: Human Rights: Frederick Douglass]: Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care.","Unit 5: Lesson 5 (Frederick Douglass)"
"Devotion","ভক্তি / নিষ্ঠা / আত্মনিবেদন / অনুরাগ","Dedication, loyalty, piety, faithfulness, commitment","Disloyalty, apathy, indifference, rebellion","Love, loyalty, or enthusiasm for a person, belief, or religious path.","[Unit 2: Lesson 2]: Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.
[Unit 2: Art and Craft: Folk Music]: So Lalon returned to Siraj Sain and took up a life of devotion and asceticism under his guidance.","Unit 2: Lesson 2 (Folk Music)"
"Empowerment","ক্ষমতায়ন / স্বনির্ভরতা ও মর্যাদার শক্তি","Elevation, enfranchisement, independence, strengthening","Subjugation, disempowerment, disenfranchisement","The process of becoming stronger and more confident, especially in controlling one's life and claiming one's rights.","[Unit 9: Lesson 4]: Like many other South Asian countries, in Bangladesh, the gravity of sexual harassment in public spaces has been diluted and almost 'normalised' through calling it 'eve-teasing'.
[Unit 9: Adolescence: Adolescence and Some]: Comprehensive analysis, evaluation of Khona's proverbs in rural agriculture, and their enduring relevance in understanding climate dynamics and peasant empowerment.
[Unit 4: Lesson 3]: Comprehensive analysis, evaluation of Khona's proverbs in rural agriculture, and their enduring relevance in understanding climate dynamics and peasant empowerment.","Unit 9: Lesson 4 (Story of Shilpi)"
"Inspire","অনুপ্রাণিত করা / উদ্দীপনা জাগানো","Motivate, stimulate, encourage, animate","Discourage, dishearten, deter, repress","Fill someone with the urge or ability to do or feel something, especially to do something creative.","His watercolors, scroll paintings and drawings inspire our artists even today.","Unit 2: Art and Craft: Art"
"Percussion","ঘাতবাদ্য / বাদ্যযন্ত্রের আঘাতধ্বনি","Drumming, beat, percussion instrument","Silence, hush, quietness, stillness","Musical instruments played by striking with the hand or a beater.","At once the musicians at the gate struck up on their many wind and percussion instruments.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Blow","বাজানো / ভেঁপু বাজানো","Honk, sound, blast, blare, toot","Mute, silence, quiet","To sound a horn, whistle, or instrument loudly.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Honk","মোটরগাড়ির ভেঁপু বাজানো","Hoot, blow, blare, toot","Silence, quietness, mute","To emit or cause a car horn to emit a loud sound.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Trouble","কষ্ট দেওয়া / বিরক্ত করা / উদ্বিগ্ন করা","Bother, Disturb, Annoy, Afflict, Distress","Comfort, Soothe, Calm, Assist, Reassure","To cause distress, discomfort, pain, or inconvenience to someone.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Disgusted","নিদারুণ বিরক্ত / বিতৃষ্ণ / অসন্তুষ্ট","Repelled, Revolted, Sickened, Appalled, Offended","Delighted, Pleased, Gratified, Charmed","Feeling or showing strong disapproval, revulsion, or intense annoyance.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Refuse","প্রত্যাখ্যান করা / অসম্মত হওয়া / নাকচ করা","Decline, Reject, Turn down, Spurn, Deny","Accept, Agree, Receive, Consent","To indicate or show that one is not willing to do or accept something.","Politely refusing a gift before accepting it is the norm in Chinese culture, so don't be discouraged when initially someone refuses your gift.","Unit 10: Lesson 1 (Manners Around the World)"
"Communication","যোগাযোগ / ভাববিনিময়","Interaction, contact, dialogue, interchange","Isolation, disconnect, silence","The imparting or exchanging of information by speaking, writing, or using digital media.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Alternative","বিকল্প","Substitute, optional, alternate, substitute","Compulsory, mandatory, sole, fixed","Available as another possibility or choice.","Edtech companies should work to make AI technology accessible to a broader range of schools and teachers and explore alternative funding options, such as grants or partnerships, to help offset the costs.","Unit 1: Lesson 2 (Education and Technology)"
"Absent-minded","অন্যমনস্ক / আনমনা / ভাবুক স্বভাবের","Inattentive, distracted, preoccupied, oblivious, daydreaming","Attentive, alert, focused, mindful, observant","Having or showing a habitually forgetful or inattentive disposition.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Mellowed","কোমল বা পরিপক্ব হওয়া / স্নিগ্ধ রূপ ধারণ করা","Softened, ripened, subdued, harmonized","Harsh, aggravated, worsened, toughened","Made pleasantly smooth, soft, or tender in quality.","She walks in beauty, like the night Of cloudless climes and starry skies; And all that's best of dark and bright Meet in her aspect and her eyes; Thus mellowed to that tender light Which heaven to gaudy day denies.","Unit 2: Lesson 1 (What is Beauty?)"
"Commentary","ভাষ্য / পর্যালোচনা / সামাজিক সমালোচনা","Critique, evaluation, analysis, interpretation, review","Silence, disregard, omission","An expression of opinions or an explanation about an event or situation.","The aim of art is to evoke feelings and emotions that are considered aesthetic—that is, concerned with beauty—but art also can be a form of social commentary...","Unit 2: Lesson 3 (Art)"
"Prosperous","সমৃদ্ধ / বর্ধিষ্ণু / সম্পদশালী","Thriving, affluent, flourishing, opulent, wealthy","Impoverished, destitute, declining, bankrupt","Successful in material terms; flourishing financially.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Onrush","প্রবল স্রোত / পাহাড়ি ঢল / আকস্মিক প্লাবন","Surge, flood, deluge, influx, onslaught, torrent","Retreat, ebb, receding, stagnation","A sudden forceful rush or flow forward, as of floodwaters.","All the rivers and water bodies there had overflowed their banks because of the onrush of flood water from the hills beyond our border.","Unit 1: Lesson 4 (Civic Engagement)"
"Hush","নিস্তব্ধতা / গভীর নীরবতা / স্তব্ধতা","Silence, stillness, quietude, tranquility, calm","Noise, clamor, uproar, din","A period of profound silence, quiet, or stillness.","I look around me and discover a leafy dome—Jaam, Kanthal, Bat, Hijol and Aswatha trees all in a hush, Shadowing clumps of cactus and zedoary bushes.","Unit 3: Lesson 1 (Myths of Bengal)"
"Desolate","বিমর্ষ / সঙ্গীহীন / নিঃসঙ্গ / নিরাশ","Forlorn, solitary, lonely, grieving, bleak","Joyful, companionable, cheerful, flourishing","Feeling or showing misery, unhappiness, or loneliness.","One day, arriving in Amara, Where gods held court, when she danced like a desolate wagtail, Bengal's rivers, fields, flowers, wailed like strings of bells on her feet.","Unit 3: Lesson 1 (Myths of Bengal)"
"Ascended","উপরে উঠল / আরোহণ করল / ঊর্ধ্বগমন করল","Soared, climbed, rose, elevated, mounted","Descended, plummeted, dropped, fallen","Went up or climbed; rose move up through the air.","As he ascended, the sun's heat melted the wax binding his wings.","Unit 3: Lesson 2 (Icarus)"
"Legends","কিংবদন্তি / ঐতিহ্যবাহী ঐতিহাসিক লোকগাথা","Myths, folk tales, folklore, sagas, epics","Verified facts, scientific data","Traditional stories sometimes regarded as historical but unauthenticated.","According to some myths and legends, Gazi Pir was a Muslim saint who is said to have spread Islam in the parts of Bengal close to the Sunderbans.","Unit 3: Lesson 3 (The Legend of Gazi)"
"Hinder","বাধা দেওয়া / বিঘ্ন সৃষ্টি করা / আটকে রাখা","Obstruct, impede, hamper, thwart, prevent","Encourage, facilitate, assist, foster","Create difficulties for someone or something, resulting in delay or obstruction.","For what this separation is done, I do not know, unless it be to hinder the development of the child's affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.","Unit 5: Lesson 5 (Frederick Douglass)"
"Vivid","সুস্পষ্ট / উজ্জ্বল / প্রাণবন্ত ও সতেজ","Clear, graphic, striking, brilliant, detailed","Vague, dull, indistinct, blurry","Producing powerful feelings or strong, clear images in the mind.","Unit Six: Dreams Lesson 1 What is a Dream?","Unit 6: Lesson 1 (What is a Dream?)"
"Barren","অনুর্বর / বন্ধ্যা / শস্যহীন শুষ্ক প্রান্তর","Infertile, sterile, desolate, arid, unproductive","Fertile, productive, fruitful, flourishing","Too poor to produce much or any vegetation; bleak and lifeless.","Dreams Lesson 2 Dreams in Literature Introduction: 109 William Wordsworth (1770-1850).","Unit 6: Lesson 2 (Dreams in Literature)"
"Subdue","বশীভূত বা জয় করা / দমন করা","Conquer, overcome, tame, defeat, master","Yield to, submit, succumb, surrender","Overcome, quieten, or bring under control.","Apart from stamina and practice of long distance swimming, one must have the grit, determination and courage to subdue the Channel.","Unit 7: Lesson 1 (Brojen Das)"
"Endangered","বিলুপ্তির ঝুঁকিতে থাকা / মারাত্মকভাবে বিপন্ন","Threatened, imperiled, vulnerable, at-risk, dying out","Abundant, thriving, flourishing, safe","Seriously at risk of extinction.","Look at these photographs of some animals in Bangladesh which are either critically endangered or endangered.","Unit 12: Lesson 3 (Endangered Species)"
"Snuff","বিলুপ্ত করা / নির্বাপিত করা","Extinguish, quench, stifle, put out","Ignite, kindle, spark, illuminate","Extinguish a flame or end something abruptly.","He took a pinch of snuff and declared, ""This isn't a matter of just a few texts."" One of the royal nephews sent for scribes.","Unit 1: Education and Life: The Parrot's Tale"
"Conquered","বিজয়ী হওয়া / জয় করা","Vanquished, mastered, overcome, subdued","Surrendered, submitted, yielded, failed","Successfully overcome or mastered.","One of the historical landmarks of Sonargaon is the ancient city of Panam (also known as Painam) or Panam Nagar, which was developed to the south of the old city to provide residential quarters to the governors after the Moghuls conquered Sonargaon in 1611.","Unit 2: Art and Craft: Craft"
"Duties","দায়িত্ব ও কর্তব্য","Obligations, responsibilities, tasks, charges","Privileges, rights, exemptions","Moral or legal obligations; responsibilities.","Now, he can look back on his childhood and appreciate the way his father was carrying out his duties and responsibilities.","Unit 8: Relationships: Warmth in Relationships"
"Moan","বিলাপ","Cry, lamentation","Laugh","A long, low sound expressing physical or mental pain or grief.","[Unit 11: Peace and Conflict: Situations of Conflict]: The race of man is suffering and I can hear the moan.
[Unit 11: Lesson 1]: Now if you listen closely I'll tell you what I know Storm clouds are gathering The wind is gonna blow The race of man is suffering And I can hear the moan.","Unit 11: Lesson 1 (Situations of Conflict)"
"Unquiet","অশান্ত / অস্থির","Restless, turbulent, agitated, troubled","Peaceful, serene, tranquil, quiet","Unable to be still; agitated or anxious.","[Unit 5: Human Rights: Frederick Douglass]: restless spirit - an unquiet nature yearning for truth and liberation viii.
[Unit 11: Lesson 2]: There is no need to be unquiet about the cat.","Unit 5: Human Rights: Frederick Douglass"
"Assignment","নির্ধারিত দায়িত্ব বা কাজ","Task, mission, project, duty","Idleness, discharge, vacancy","A task or piece of work assigned to someone as part of a job or course of study.","It can grade assignments and quizzes, which can free up teachers' time for other tasks, such as lesson planning and providing more one-on-one attention to students.","Unit 1: Education and Life: Education and Technology"
"Survive","বেঁচে থাকা, টিকে থাকা","Live, endure","Die","Continue to live or exist, especially in spite of danger or hardship.","[Unit 12: Environment and Nature: Water, Water Everywhere...]: We know we cannot survive without clean drinking water.
[Unit 4: Lesson 3]: We know we cannot survive without clean drinking water.
[Unit 12: Lesson 1]: We know we cannot survive without it.","Unit 12: Lesson 1 (Water Everywhere)"
"Bounty","পুরস্কার / অনুদান / বদান্যতা","Reward, prize, grant, bonus","Penalty, fine, punishment","A reward, prize, or monetary grant given by authority for an effort or service.","[Unit 1: Lesson 1]: Those who haven't got a share of the royal bounty are resorting to slander.""
[Unit 12: Lesson 1]: The city paid back the bounty of the river by sucking life out of it!","Unit 1: Lesson 1 (The Parrot's Tale)"
"Deliberate","গভীরভাবে চিন্তা করা / বিবেচনা করা","Contemplate, ponder, reflect, meditate","Disregard, overlook, ignore","To engage in long and careful consideration or discussion.","The learned men of the court deliberated long.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Downfall","অধঃপতন / পতন / সর্বনাশ","Ruin, collapse, degradation, descent","Rise, ascent, triumph, elevation","A loss of power, prosperity, health, or status; ruin.","Once upon a time there lived a bird.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Humorous","হাস্যরসাত্মক / হাস্যরসপূর্ণ / রসাত্মক","Amusing, comical, funny, witty, hilarious","Serious, grave, somber, solemn","Causing lighthearted laughter and amusement; comical.","Once upon a time there lived a bird.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Innate","সহজাত / স্বভাবজাত / জন্মগত","Inborn, inherent, natural, instinctive","Acquired, learned, extrinsic, artificial","Inborn; natural; present from birth rather than acquired.","Still, out of innate bad habit it would look out at the morning light and flutter its wings in a reprehensible manner.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Startled","চমকিত / আঁতকে ওঠা / শঙ্কিত","Shocked, alarmed, surprised, astonished","Calm, undisturbed, composed, assured","Feeling sudden shock or alarm caused by an unexpected occurrence.","The King was startled.","Unit 1: Lesson 1 (The Parrot's Tale)"
"Screech","কর্কশ চিৎকার করা / তীক্ষ্ণ চিৎকার দেওয়া","Shriek, squawk, scream, squeal","Whisper, murmur, hush","To make a loud, harsh, piercing cry or sound.","""Does it screech if it isn't fed?""","Unit 1: Lesson 1 (The Parrot's Tale)"
"Etiquette","শিষ্টাচার / সামাজিক আদব-কায়দা / আচরণবিধি","Protocol, manners, decorum, propriety, politeness","Impoliteness, rudeness, indecency, discourtesy","The customary code of polite behavior in society or among members of a particular profession or group.","Make a presentation on Bangladeshi etiquette of dining, exchanging gifts, and greetings.","Unit 10: Lesson 1 (Manners Around the World)"
"Discouraged","নিরুৎসাহিত / হতোদ্যম / মনোবল হারানো","Disheartened, Demoralized, Despondent, Depressed","Encouraged, Motivated, Inspired, Hopeful","Having lost confidence or enthusiasm; disheartened.","Politely refusing a gift before accepting it is the norm in Chinese culture, so don't be discouraged when initially someone refuses your gift.","Unit 10: Lesson 1 (Manners Around the World)"
"Casual","অনানুষ্ঠানিক / সাদামাটা / সাধারণ পোশাক বা আচরণ","Informal, Relaxed, Nonchalant, Easygoing, Everyday","Formal, Ceremonious, Strict, Stiff","Relaxed and unconcerned; not formal.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Hostess","গৃহকর্ত্রী / মেজবান নারী / নিমন্ত্রণকর্ত্রী","Welcomer, Entertainer, Lady host, Host","Guest, Visitor, Invitee","A woman who receives or entertains guests socially or commercially.","And sometimes it's good to take a cue from the host or hostess.","Unit 10: Lesson 1 (Manners Around the World)"
"Gradually","ধীরে ধীরে / পর্যায়ক্রমে / ক্রমান্বয়ে","Slowly, Steadily, Step by step, Progressively, Incrementally","Suddenly, Abruptly, Rapidly, Instantly","In a gradual way; slowly; by degrees.","Greet the most senior first and gradually others.","Unit 10: Lesson 1 (Manners Around the World)"
"Leisurely","ধীরস্থির / আয়েশি / শান্ত ও নিরুদ্বেগ","Unhurried, Relaxed, Easygoing, Casual, Slow-paced","Hurried, Rushed, Hasty, Fast-paced","Acting or done at leisure; unhurried or relaxed.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Customary","প্রথাগত / ঐতিহ্যবাহী / প্রচলিত রীতিনীতি অনুযায়ী","Traditional, Usual, Conventional, Habitual, Routine","Unusual, Unconventional, Rare, Strange","According to the customs or usual practices associated with a particular society.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Informal","ঘরোয়া / অনানুষ্ঠানিক / সাদামাটা পরিবেশ","Casual, Relaxed, Unofficial, Familiar, Easy","Formal, Official, Ceremonial, Rigid","Having a relaxed, friendly, or unofficial style, manner, or nature.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Gratitude","কৃতজ্ঞতা / ধন্যবাদবোধ / উপকারের স্বীকৃতি","Thankfulness, Appreciation, Gratefulness, Recognition","Ingratitude, Unthankfulness, Indifference","The quality of being thankful; readiness to show appreciation and return kindness.","Gift Gifts are given frequently to show love, gratitude and respect.","Unit 10: Lesson 1 (Manners Around the World)"
"Mutual","পারস্পরিক / উভয়ের মধ্যে বিদ্যমান","Reciprocal, Shared, Joint, Common, Bilateral","One-sided, Unilateral, Individual, Single","Held in common by two or more parties; shared.","Shaking hands (between men) is an important gesture of mutual respect.","Unit 10: Lesson 1 (Manners Around the World)"
"Receipt","প্রাপ্তি / কোনো কিছু পাওয়ার মুহূর্ত","Receiving, Reception, Acceptance, Acquisition","Dispatch, Sending, Delivery, Issuance","The action of receiving something or the fact of its being received.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Count","বিবেচনা করা / হিসেবে ধরা","Include, consider, regard, reckon","Exclude, disregard, ignore, overlook","To take into account; consider or include.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Extravagant","অতিরিক্ত / অপব্যয়ী / বাড়াবাড়ি","Wasteful, excessive, immoderate, lavish","Reasonable, moderate, frugal, economical","Lacking restraint in spending money or using resources; excessive.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Gratefulness","কৃতজ্ঞতা / ধন্যবাদ জ্ঞাপন","Thankfulness, appreciation, gratitude, acknowledgement","Ingratitude, unthankfulness, thanklessness","The feeling or quality of being grateful; appreciation.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Mission","বিশেষকার্য / সুনির্দিষ্ট লক্ষ্য","Aim, purpose, goal, assignment, objective","Aimlessness, purposelessness","An important assignment given to a person or group.","hc mission ru that polite benefits from hig em,rté.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Satisfaction","পরিতৃপ্তি / সন্তুষ্টি","Contentment, pleasure, fulfillment, gratification","Discontent, dissatisfaction, displeasure, disappointment","Fulfillment of one's wishes, expectations, or needs.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Terribly","অত্যন্ত / ভীষণভাবে / প্রচণ্ডভাবে","Extremely, Exceedingly, Immensely, Very, Awfully","Slightly, Barely, Mildly, Moderately","Very much; extremely; to an intense degree.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Toil","কঠোর পরিশ্রম / অক্লান্ত খাটুনি","Labour, Hard work, Exertion, Drudgery, Struggle","Idleness, Leisure, Laziness, Rest, Relaxation","Extremely hard, exhausting, and continuous physical or mental effort.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Bother","বিরক্ত করা / কষ্ট দেওয়া / ব্যতিব্যস্ত করা","Trouble, Disturb, Annoy, Irritate, Pester","Comfort, Please, Soothe, Reassure","To take the trouble to do something or cause annoyance to someone.","Again, maybe the hiring manager doesn't care if you have bad table manners, but they may worry that your potential clients Will be bothered that you eat like an absent-minded caveman.","Unit 10: Lesson 1 (Manners Around the World)"
